英文原词,现用译名,官方译名,裁决,受染页
space,太空,Space键,噪声误匹配，不改,the-very-early-game、how-many-dupes-should-you-have、atmo-suit-basics、base-game-versus-spaced-out-dlc、complete-beginners-completely-incomplete-guide-to-oxygen-not-included
Thermo Aquatuner,液冷机,液温调节器,按官方回填（用户裁决：全按建议）,things-i-wish-id-known-when-i-started、complete-beginners-completely-incomplete-guide-to-oxygen-not-included
Storage Bin,储物箱,存储箱,按官方回填（用户裁决：全按建议）,the-very-early-game、the-early-game、complete-beginners-completely-incomplete-guide-to-oxygen-not-included
atmo suit,太空服,气压服,按官方回填（用户裁决：全按建议）,（仅术语表）
Deconstruct,拆除,拆解,按官方回填（用户裁决：全按建议）,the-very-early-game、the-early-game、choosing-duplicants、things-i-wish-id-known-when-i-started
gas pipe,气管,气体管道,按官方回填（用户裁决：全按建议）,things-i-wish-id-known-when-i-started
Radbolt,辐射粒子,单位粒子,"保留""辐射粒子""（官方键疑似单位后缀误匹配，用户裁决 2026-08-30）",the-very-early-game、complete-beginners-completely-incomplete-guide-to-oxygen-not-included
buff,增益效果,健美者,噪声误匹配，不改,（仅术语表）
Germ Overlay,病菌视图（F9）,病菌概览,按官方回填（用户裁决：全按建议）,（仅术语表）
Harvest,采集,收获,按官方回填（用户裁决：全按建议）,the-very-early-game、the-early-game、atmo-suit-basics
Oxygen Overlay,氧气视图（F1）,氧气概览,按官方回填（用户裁决：全按建议）,（仅术语表）
Lit Workspace,明亮工作区,明亮的工作区,按官方回填（用户裁决：全按建议）,the-very-early-game、the-early-game
Room Overlay,房间视图,房间概览,按官方回填（用户裁决：全按建议）,（仅术语表）
Cot,简易床,床铺,按官方回填（用户裁决：全按建议）,the-very-early-game
Barracks,营房,宿舍,按官方回填（用户裁决：全按建议）,the-very-early-game、the-early-game
hydrogen vent,氢气喷口,氢气喷孔,按官方回填（用户裁决：全按建议）,（仅术语表）
Polymer Press,聚合物压塑机,聚合物压塑器,按官方回填（用户裁决：全按建议）,（仅术语表）
Critter Drop-off,小动物投放点,小动物放生点,按官方回填（用户裁决：全按建议）,（仅术语表）
Shearing Station,剪毛站,修剪站,按官方回填（用户裁决：全按建议）,（仅术语表）
duplicant selection,重抽（reroll）,复制人,噪声误匹配，不改,the-very-early-game、choosing-duplicants
Wild Growth,野生,野外生长,按官方回填（用户裁决：全按建议）,the-very-early-game
Temperature Overlay,温度视图,温度概览,按官方回填（用户裁决：全按建议）,（仅术语表）
cool steam vent,冷蒸汽喷口,低温蒸汽喷孔,按官方回填（用户裁决：全按建议）,（仅术语表）
Novice Research,初级研究,基础研究,按官方回填（用户裁决：全按建议）,（仅术语表）
Grooming Station,照料站,梳理站,按官方回填（用户裁决：全按建议）,（仅术语表）
Light Overlay,光照视图（F5）,光照概览,按官方回填（用户裁决：全按建议）,（仅术语表）
Enable Proximity,启用就近原则,启用临近性,按官方回填（用户裁决：全按建议）,the-very-early-game
Top Priority,最高优先级,顶级优先度,按官方回填（用户裁决：全按建议）,（仅术语表）
Computers research branch,信息处理,自动化,按官方互换回填（用户裁决：全按建议）,the-very-early-game
Computing tech,自动化,信息处理,按官方互换回填（用户裁决：全按建议）,the-very-early-game、the-early-game、choosing-duplicants、things-i-wish-id-known-when-i-started、complete-beginners-completely-incomplete-guide-to-oxygen-not-included
Copy settings,粘贴设置,复制设置,按官方回填（用户裁决：全按建议）,（仅术语表）
